732.8	46
733.7	40
734.3	21
735.7	1
735.9	36
736	25
736.1	7
736.2	29
736.5	48
736.6	22
737.1	32
737.5	24
737.8	8
737.8	16
738.4	27
738.5	30
738.6	14
739.5	41
743	23
743	42
743.6	31
743.8	19
744.3	0
744.3	43
744.6	34
745.3	49
745.7	21
747.3	17
749.7	28
749.7	46
750.8	11
752.3	13
752.4	25
753.5	41
753.7	4
753.9	10
754.2	30
754.3	36
754.5	45
755.9	7
756.1	14
756.4	40
756.5	24
757.2	47
757.6	5
758.1	20
758.2	1
758.5	16
760.2	19
760.4	37
761.8	39
762.3	12
763.8	21
764.7	29
764.8	22
765.3	26
765.6	27
766.9	2
767	46
767.3	9
768	49
768.3	41
768.4	25
768.8	17
771	35
772.9	14
773	24
773	31
773.2	36
773.3	4
773.4	43
774.7	44
775.6	11
775.8	8
775.9	48
776.1	32
776.8	15
777.2	30
777.5	37
777.6	40
777.9	16
777.9	19
778.6	47
778.8	6
778.8	34
778.9	13
780.1	45
780.6	21
782.1	41
785.3	1
786.1	7
786.4	42
786.5	5
787.2	46
787.6	24
787.8	25
788	17
788.3	12
788.3	29
789.5	39
789.6	36
791	16
793.7	19
794.3	14
794.6	48
795.1	49
796.4	30
797.9	45
799.3	40
799.7	31
799.8	41
800.1	46
800.2	44
800.7	9
800.7	37
800.9	1
801.2	32
801.8	11
801.8	43
802.2	25
803.5	27
804.2	21
805.5	47
805.7	49
806.6	4
806.7	36
807.3	24
807.6	2
809.8	17
810.7	19
810.8	12
811	13
812.3	14
813	18
813.2	0
813.2	16
813.5	34
815.1	22
817.8	48
818.1	41
818.4	10
819.7	7
819.7	30
819.8	15
820.4	21
820.8	6
820.9	25
821	43
821.2	5
821.3	39
822.4	45
822.5	40
822.7	11
822.7	24
822.9	37
823	1
823.3	36
823.8	23
824.8	9
825	46
827.9	16
828.3	8
828.4	19
829.2	17
829.6	44
829.8	29
830	31
830.7	49
831.4	42
832.3	21
832.8	14
834	41
834.6	30
834.9	7
836.4	12
836.7	25
836.8	4
836.9	47
837.6	20
839.7	46
840.1	13
841.6	36
842.4	28
842.5	40
843.2	22
843.7	45
844.6	24
845	32
845.1	1
845.5	48
846.3	2
847	17
847.2	3
847.4	34
847.6	27
848.2	21
848.4	49
848.6	16
848.7	6
848.7	41
848.8	43
849.7	29
849.7	39
850.3	5
851.5	14
851.5	37
852.7	30
852.9	15
854.4	36
854.7	19
856.9	46
858.1	25
859	11
859.1	26
859.5	31
859.7	9
860.6	7
861.1	1
861.7	45
862	21
862.3	44
862.5	42
863.3	24
864.3	20
864.4	10
864.9	40
865.3	41
865.7	47
867	43
867.4	17
867.4	49
867.8	16
869.1	4
871.6	14
872	13
874	12
874.2	39
874.7	48
875.3	25
876.2	36
876.9	11
877.3	46
877.5	16
878.5	19
878.5	21
879.2	30
879.3	31
880.5	22
880.5	37
880.7	5
881.2	41
882.3	17
882.5	1
882.6	28
883.3	32
883.4	27
883.8	2
883.8	29
884.7	33
886.1	40
886.5	23
886.6	8
886.8	34
887.3	47
887.5	45
888.7	43
889.9	14
890.4	7
890.9	24
891.2	21
892.2	10
892.3	49
892.9	25
893.6	4
894.1	38
894.8	30
895.8	36
895.9	11
896.7	44
897	17
898.3	19
898.6	41
898.9	16
899.1	46
899.7	1
899.9	24
900	35
900.8	39
900.9	26
904.1	48
905.1	9
905.8	40
906	22
907.4	43
908.1	12
908.8	5
909.3	32
909.7	33
910.2	21
910.5	6
910.7	37
910.9	45
911.5	29
912.4	14
912.4	25
912.9	31
913.2	30
